Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level
Town Hall Area,2022-07-01,09:03,Minor Injury,Head-on Collision,Overspeeding,2,Car; Three Wheeler,56+,0,3,High
Messenger Street Pettah,2025-02-14,08:31,Serious Injury,Rear-end Collision,Driver Negligence,1,Bicycle,26-35,0,2,High
Fort Railway Station Area,2025-12-18,19:01,Minor Injury,Single Vehicle Crash,Overspeeding,1,Bus,26-35,0,4,High
"No. 47 Sri Sangaraja Mawatha, Colombo 10",2025-02-06,18:51,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Lorry; Car; Three Wheeler,36-45,0,1,High
Wellawatte Junction,2022-01-07,13:16,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,36-45,0,1,Low
"Junction of Ward Place and D S Senanayake Mawatha (Baseline Road), Colombo 08",2023-08-30,22:49,Serious Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Three Wheeler,36-45,0,3,High
Union Place Slave Island,2022-12-09,09:09,Serious Injury,Multi-vehicle Collision,Driver Fatigue,3,Three Wheeler; Motorcycle; Bus,18-25,0,2,High
High Level Road Kirulapone,2025-01-30,12:02,Minor Injury,Motorcycle Collision,Drunk Driving,3,Motorcycle; Van; Three Wheeler,36-45,0,3,Moderate
"Junction of Galle Road and Alfred Place, Colombo 03",2025-02-22,07:04,Serious Injury,Motorcycle Collision,Failure to Yield,3,Motorcycle; Van; Bus,46-55,0,4,High
Liberty Plaza Area,2023-09-23,13:12,Minor Injury,Rear-end Collision,Overspeeding,3,Car; Motorcycle; Three Wheeler,18-25,0,4,Low
"No. 101 R A de Mel Mawatha, Colombo 03",2022-03-19,18:26,Minor Injury,Rear-end Collision,Driver Negligence,1,Car,56+,0,2,Low
Wellawatte Railway Station Area,2022-08-18,12:33,Serious Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,36-45,0,3,Moderate
Wellawatte Junction,2025-10-31,10:39,Minor Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,18-25,0,4,High
Havelock Road Havelock Town,2022-08-04,17:32,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Bus; Motorcycle,18-25,0,2,Low
Kotahena Junction,2023-10-28,13:36,Minor Injury,Head-on Collision,Driver Negligence,1,Motorcycle,26-35,0,1,Low
Mutwal Road Mutwal,2025-02-09,13:36,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,46-55,0,2,Moderate
Wellawatte Railway Station Area,2022-12-01,08:04,Minor Injury,Motorcycle Collision,Unsafe Lane Change,4,Motorcycle; Car; Three Wheeler; Bicycle,26-35,0,3,High
D R Wijewardena Mawatha Fort,2023-03-26,09:50,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,2,Moderate
Ibbanwala Junction,2022-09-26,17:57,Minor Injury,Side-impact Collision,Driver Negligence,1,Bicycle,26-35,0,4,Moderate
Mahanama College Junction,2023-10-03,12:22,Minor Injury,Pedestrian Collision,Reckless Driving,2,Car; Bus,18-25,0,1,Moderate
Bambalapitiya Junction,2025-03-06,18:44,Serious Injury,Rear-end Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,18-25,0,2,Low
T B Jayah Mawatha Maradana,2024-02-23,22:08,Serious Injury,Rear-end Collision,Reckless Driving,3,Lorry; Three Wheeler; Van,56+,0,6,High
"Junction of New Kelani Bridge Approach and Peliyagoda Road, Peliyagoda",2025-08-22,19:04,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Motorcycle,18-25,0,2,Moderate
Pettah Clock Tower Area,2024-06-21,11:35,Serious Injury,Rear-end Collision,Poor Visibility,3,Bus; Bicycle; Van,26-35,0,4,Moderate
Galle Road Dehiwela,2024-04-04,03:32,Serious Injury,Pedestrian Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,26-35,0,5,High
Sea Street Kotahena,2025-05-09,02:32,Minor Injury,Rear-end Collision,Reckless Driving,2,Van; Motorcycle,36-45,0,4,Moderate
Maradana Railway Station Area,2023-05-17,12:58,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,3,High
Darley Road Cinnamon Gardens,2024-11-07,18:46,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,56+,0,1,Moderate
Wellawatte Junction,2023-03-07,19:35,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,2,Low
Slave Island Junction,2023-12-12,08:54,Minor Injury,Rear-end Collision,Distracted Driving,1,Three Wheeler,36-45,0,1,Low
Fort Railway Station Area,2025-03-29,21:51,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,36-45,0,1,Moderate
Union Place Borella,2025-04-13,07:17,Minor Injury,Rear-end Collision,Driver Negligence,2,Bicycle; Motorcycle,46-55,0,2,Moderate
Wellawatte Junction,2022-03-14,19:06,Minor Injury,Rear-end Collision,Reckless Driving,2,Lorry; Van,36-45,0,3,Low
Armour Street Junction,2024-02-09,18:33,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bicycle,46-55,0,5,Moderate
Ibbanwala Junction,2024-08-21,09:21,Serious Injury,Multi-vehicle Collision,Failure to Yield,3,Three Wheeler; Motorcycle; Lorry,18-25,0,2,High
Rosmead Place Colombo 07,2022-12-24,20:21,Minor Injury,Side-impact Collision,Unsafe Lane Change,2,Three Wheeler; Car,18-25,0,3,Low
Maradana Junction,2025-07-05,18:56,Minor Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,56+,0,1,High
Pettah Clock Tower Area,2025-11-03,19:26,Fatal,Single Vehicle Crash,Reckless Driving,1,Bicycle,46-55,1,1,High
Panchikawatte Junction,2024-12-16,14:02,Serious Injury,Rear-end Collision,Distracted Driving,3,Bicycle; Motorcycle; Three Wheeler,36-45,0,6,High
Mattakkuliya Junction,2024-03-28,11:35,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,3,Bus; Car; Van,36-45,0,1,Low
Sir Chittampalam A Gardiner Mawatha Fort,2023-08-04,14:15,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,18-25,0,2,Low
Pettah Market Area,2025-01-24,21:41,Minor Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Van,18-25,0,2,Low
Mutwal Road Mutwal,2022-07-08,18:49,Minor Injury,Head-on Collision,Driver Negligence,1,Bicycle,56+,0,3,Low
Modara Junction,2025-09-29,14:04,Minor Injury,Rear-end Collision,Driver Negligence,2,Lorry; Bicycle,36-45,0,1,Low
Grandpass Junction,2023-06-25,13:40,Minor Injury,Pedestrian Collision,Driver Negligence,1,Bicycle,56+,0,1,Moderate
New Kelani Bridge Approach,2025-11-20,18:06,Serious Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Van,26-35,0,3,Moderate
Bambalapitiya Railway Station Area,2024-04-14,07:41,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,18-25,0,4,Low
Bambalapitiya Junction,2025-08-14,22:22,Minor Injury,Side-impact Collision,Failure to Yield,2,Motorcycle; Van,26-35,0,1,Moderate
Sir Chittampalam A Gardiner Mawatha Fort,2023-04-12,19:23,Minor Injury,Head-on Collision,Driver Negligence,1,Bus,26-35,0,3,High
Mount Lavinia Junction,2025-09-24,15:53,Minor Injury,Side-impact Collision,Reckless Driving,1,Bicycle,46-55,0,3,Low
Madampitiya Road,2022-07-03,19:51,Fatal,Head-on Collision,Driver Fatigue,3,Car; Lorry; Three Wheeler,18-25,1,4,Moderate
Alfred Place Colombo 03,2025-01-17,12:53,Serious Injury,Pedestrian Collision,Reckless Driving,1,Van,46-55,0,6,High
Kotahena Junction,2023-11-02,13:40,Minor Injury,Side-impact Collision,Pedestrian Negligence,2,Three Wheeler; Motorcycle,36-45,0,3,High
Bambalapitiya Railway Station Area,2024-10-03,18:55,Minor Injury,Side-impact Collision,Overspeeding,1,Three Wheeler,36-45,0,1,High
Pettah Clock Tower Area,2024-08-31,02:27,Serious Injury,Motorcycle Collision,Overspeeding,3,Motorcycle; Bicycle; Three Wheeler,26-35,0,3,High
High Level Road Kirulapone,2023-06-09,16:13,Serious Injury,Rear-end Collision,Reckless Driving,2,Bicycle; Car,26-35,0,6,High
Dematagoda Junction,2024-01-01,20:38,Fatal,Head-on Collision,Driver Fatigue,1,Motorcycle,36-45,2,5,High
Justice Akbar Mawatha Slave Island,2025-04-24,08:37,Minor Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Car,26-35,0,3,High
"Junction of Reid Avenue and Independence Avenue, Colombo 07",2023-09-18,19:28,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Car,26-35,0,2,High
High Level Road Nugegoda,2023-08-20,17:07,Fatal,Rear-end Collision,Reckless Driving,2,Motorcycle; Bicycle,56+,1,4,High
Hulftsdorp Junction,2023-10-19,11:38,Fatal,Rear-end Collision,Driver Fatigue,1,Lorry,26-35,1,5,High
Modara Junction,2024-02-15,14:49,Serious Injury,Side-impact Collision,Driver Negligence,1,Car,56+,0,6,Moderate
Sea Street Pettah,2025-02-16,09:12,Serious Injury,Multi-vehicle Collision,Poor Visibility,4,Motorcycle; Car; Three Wheeler; Bicycle,36-45,0,6,High
Sea Street Kotahena,2024-08-16,20:10,Serious Injury,Motorcycle Collision,Unsafe Lane Change,1,Motorcycle,18-25,0,3,High
Mattakkuliya Junction,2024-04-03,14:50,Serious Injury,Single Vehicle Crash,Overspeeding,1,Motorcycle,18-25,0,6,Moderate
Pettah Clock Tower Area,2024-05-17,09:46,Minor Injury,Side-impact Collision,Distracted Driving,3,Motorcycle; Van; Car,46-55,0,2,High
Galle Road Fort,2025-12-20,21:10,Serious Injury,Single Vehicle Crash,Poor Visibility,1,Lorry,56+,0,2,Moderate
"Junction of Sea Street and St. Anthony's Mawatha, Colombo 13",2022-09-19,16:49,Minor Injury,Side-impact Collision,Poor Visibility,1,Three Wheeler,46-55,0,4,Low
Narahenpita Junction,2025-11-11,09:04,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Car,26-35,0,1,Low
Kochchikade Junction,2025-03-05,07:29,Serious Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,26-35,0,4,High
Armour Street Junction,2022-02-02,13:09,Minor Injury,Single Vehicle Crash,Overspeeding,1,Bicycle,18-25,0,4,Low
Borella Junction,2023-09-28,10:07,Minor Injury,Rear-end Collision,Unsafe Lane Change,2,Three Wheeler; Van,26-35,0,1,Low
"Junction of Rajagiriya Flyover Approach and High Level Road, Rajagiriya",2023-05-26,06:41,Fatal,Rear-end Collision,Unsafe Lane Change,3,Three Wheeler; Car; Motorcycle,36-45,1,3,High
"No. 27 Flower Road, Colombo 03",2023-06-30,19:13,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Bicycle; Van; Motorcycle,18-25,0,1,Low
Kollupitiya Junction,2024-07-16,07:24,Minor Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,4,Low
Borella Junction,2023-09-08,07:15,Minor Injury,Side-impact Collision,Driver Negligence,1,Car,18-25,0,3,Low
Borella Junction,2022-05-13,20:35,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,26-35,0,2,Low
"Junction of Galle Road and Station Road, Dehiwela",2023-04-20,06:02,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Van,18-25,0,3,Moderate
Union Place Borella,2025-09-28,13:03,Minor Injury,Head-on Collision,Failure to Yield,2,Bicycle; Motorcycle,36-45,0,2,High
Darley Road Cinnamon Gardens,2023-02-12,22:12,Serious Injury,Rear-end Collision,Reckless Driving,2,Three Wheeler; Car,26-35,0,5,High
Colombo Fort Bus Stand Area,2023-10-25,21:14,Serious Injury,Side-impact Collision,Driver Negligence,2,Motorcycle; Car,36-45,0,2,High
Maharagama Town,2022-04-01,04:47,Minor Injury,Multi-vehicle Collision,Mechanical Failure,2,Three Wheeler; Bus,46-55,0,2,Moderate
"No. 78 Sir Chittampalam A Gardiner Mawatha, Colombo 02",2023-10-28,17:01,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,3,Motorcycle; Bus; Three Wheeler,56+,0,1,Moderate
Mattakkuliya Junction,2024-07-07,23:23,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,0,2,High
Wellawatte Junction,2025-01-03,10:36,Minor Injury,Rear-end Collision,Overspeeding,2,Lorry; Motorcycle,36-45,0,2,High
Sea Street Pettah,2024-06-21,19:24,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Bus; Three Wheeler; Car,26-35,0,3,Low
Fort Bus Stand Area,2025-02-06,16:36,Fatal,Rear-end Collision,Reckless Driving,2,Car; Van,18-25,1,5,High
Havelock Town Junction,2024-04-08,07:14,Minor Injury,Multi-vehicle Collision,Driver Negligence,4,Three Wheeler; Car; Motorcycle; Bicycle,36-45,0,4,Low
D R Wijewardena Mawatha Fort,2024-12-16,21:25,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,2,High
Madampitiya Road,2025-05-27,14:49,Serious Injury,Side-impact Collision,Mechanical Failure,3,Motorcycle; Car; Three Wheeler,46-55,0,2,High
Dematagoda Junction,2025-12-29,10:10,Minor Injury,Side-impact Collision,Driver Negligence,1,Bus,26-35,0,2,Moderate
Pettah Market Area,2022-02-12,19:56,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,18-25,0,2,High
"Junction of Perahera Mawatha and Sir James Pieris Mawatha, Colombo 02",2025-10-04,19:38,Serious Injury,Multi-vehicle Collision,Reckless Driving,2,Bicycle; Bus,46-55,0,4,High
Fort Railway Station Area,2023-08-07,07:26,Serious Injury,Motorcycle Collision,Drunk Driving,2,Motorcycle; Van,56+,0,4,Moderate
Pettah Clock Tower Area,2024-11-03,13:30,Minor Injury,Rear-end Collision,Drunk Driving,3,Car; Three Wheeler; Bicycle,26-35,0,3,Low
Panchikawatte,2025-12-25,19:30,Minor Injury,Rear-end Collision,Overspeeding,3,Bus; Car; Three Wheeler,18-25,0,4,Low
Sea Street Junction,2024-09-15,19:40,Minor Injury,Side-impact Collision,Unsafe Lane Change,1,Three Wheeler,18-25,0,2,Moderate
Maradana Junction,2025-04-06,07:30,Serious Injury,Pedestrian Collision,Failure to Yield,2,Motorcycle; Three Wheeler,36-45,0,5,High
Armour Street Junction,2025-12-30,11:16,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Three Wheeler,36-45,0,4,High
T B Jayah Mawatha Maradana,2024-06-17,15:53,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,26-35,0,1,High
D R Wijewardena Mawatha Dematagoda,2025-11-22,04:16,Serious Injury,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Three Wheeler; Bicycle,56+,0,3,Moderate
Panchikawatte,2024-07-22,15:43,Minor Injury,Pedestrian Collision,Reckless Driving,1,Car,36-45,0,2,Low
Pettah Market Area,2025-10-24,22:04,Minor Injury,Rear-end Collision,Distracted Driving,2,Three Wheeler; Motorcycle,46-55,0,4,Moderate
Kotahena Junction,2025-11-28,07:42,Minor Injury,Multi-vehicle Collision,Mechanical Failure,4,Van; Motorcycle; Three Wheeler; Bicycle,36-45,0,2,High
Borella Junction,2025-02-08,17:28,Minor Injury,Head-on Collision,Driver Negligence,1,Three Wheeler,26-35,0,1,Low
"No. 23 Pelawatta Road, Battaramulla",2025-11-06,18:52,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Van,56+,0,1,Low
Hulftsdorp Junction,2025-11-03,15:17,Serious Injury,Rear-end Collision,Overspeeding,1,Van,46-55,0,3,High
Messenger Street Pettah,2023-05-11,10:27,Minor Injury,Head-on Collision,Driver Fatigue,1,Lorry,36-45,0,1,Moderate
Justice Akbar Mawatha Slave Island,2025-12-25,07:53,Fatal,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bus,18-25,1,2,High
Union Place Slave Island,2023-06-20,11:51,Minor Injury,Motorcycle Collision,Distracted Driving,1,Motorcycle,18-25,0,2,Low
Armour Street Pettah,2024-11-18,17:34,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,3,Lorry; Motorcycle; Van,18-25,0,3,Low
Maradana Junction,2025-01-07,17:49,Minor Injury,Side-impact Collision,Poor Visibility,4,Car; Motorcycle; Three Wheeler; Bicycle,18-25,0,1,Low
Borella Junction,2022-08-09,17:08,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Motorcycle; Three Wheeler; Lorry; Van,36-45,0,1,Moderate
Maradana Junction,2025-03-08,08:16,Minor Injury,Motorcycle Collision,Distracted Driving,3,Motorcycle; Van; Bicycle,26-35,0,3,Low
Pettah Clock Tower Area,2023-04-19,08:34,Serious Injury,Rear-end Collision,Driver Fatigue,2,Bicycle; Three Wheeler,18-25,0,5,Moderate
Union Place Borella,2023-07-24,18:12,Serious Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,56+,0,3,High
Slave Island Junction,2024-05-18,11:56,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,26-35,0,1,Low
Armour Street Junction,2024-10-30,20:16,Minor Injury,Rear-end Collision,Driver Negligence,3,Three Wheeler; Bicycle; Van,18-25,0,1,Moderate
Fort Railway Station Area,2023-07-05,15:49,Minor Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,2,Low
Bambalapitiya Junction,2022-02-27,11:39,Minor Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bus,36-45,0,1,Moderate
"No. 02 Lotus Road, Colombo 01",2025-06-17,08:41,Minor Injury,Pedestrian Collision,Poor Visibility,2,Three Wheeler; Bus,46-55,0,1,Low
Duplication Road Bambalapitiya,2025-06-27,13:41,Minor Injury,Pedestrian Collision,Distracted Driving,2,Motorcycle; Three Wheeler,18-25,0,1,Moderate
Justice Akbar Mawatha Slave Island,2022-01-24,04:38,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,26-35,0,2,Moderate
Madampitiya Road,2022-10-12,22:24,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Bus,18-25,0,2,High
Athurugiriya Junction,2023-06-19,11:04,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Car,26-35,0,2,Low
Wellawatte Junction,2024-01-03,17:52,Minor Injury,Rear-end Collision,Distracted Driving,3,Car; Bicycle; Motorcycle,26-35,0,3,Low
Nelum Pokuna Area,2025-01-19,16:11,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Motorcycle,46-55,0,1,Low
Fort Railway Station Area,2022-01-16,12:38,Fatal,Head-on Collision,Reckless Driving,2,Motorcycle; Three Wheeler,18-25,2,3,High
Armour Street Junction,2025-08-14,09:08,Minor Injury,Multi-vehicle Collision,Distracted Driving,2,Car; Three Wheeler,26-35,0,2,Moderate
Union Place Slave Island,2024-05-07,18:09,Minor Injury,Head-on Collision,Driver Fatigue,3,Car; Bicycle; Motorcycle,18-25,0,3,High
T B Jayah Mawatha Maradana,2025-08-12,22:15,Minor Injury,Rear-end Collision,Overspeeding,2,Three Wheeler; Motorcycle,26-35,0,1,Low
Maradana Junction,2024-07-05,17:07,Serious Injury,Multi-vehicle Collision,Unsafe Lane Change,3,Car; Three Wheeler; Motorcycle,18-25,0,5,High
Messenger Street Pettah,2025-03-09,21:57,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,2,Van; Motorcycle,56+,0,1,Low
Maradana Junction,2023-07-11,17:21,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,1,Low
Kollupitiya Railway Station Area,2023-07-25,19:01,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,2,Moderate
High Level Road Kirulapone,2022-03-30,19:29,Minor Injury,Rear-end Collision,Mechanical Failure,2,Bus; Car,26-35,0,3,Low
Narahenpita Junction,2025-02-13,13:01,Minor Injury,Single Vehicle Crash,Unsafe Lane Change,1,Bicycle,46-55,0,4,Moderate
"Junction of High Level Road and Hospital Road, Kirulapone, Colombo 06",2024-12-29,18:23,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Bus; Motorcycle; Three Wheeler; Van,18-25,0,4,Low
Thimbirigasyaya Junction,2022-06-07,19:19,Serious Injury,Pedestrian Collision,Reckless Driving,1,Car,46-55,0,5,High
Baseline Road Borella,2025-01-12,03:26,Minor Injury,Rear-end Collision,Driver Negligence,1,Car,18-25,0,4,Low
Galle Road Wellawatte,2024-01-28,07:10,Fatal,Pedestrian Collision,Reckless Driving,1,Bicycle,46-55,1,1,High
"Junction of W A Silva Mawatha and Pamankada Road, Colombo 06",2025-10-24,20:08,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,26-35,0,3,Moderate
Maradana Junction,2025-04-10,17:35,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,56+,0,3,Moderate
Kotahena Junction,2025-05-22,15:28,Minor Injury,Rear-end Collision,Reckless Driving,1,Car,26-35,0,2,Low
Ethul Kotte Junction,2023-06-10,17:51,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,36-45,0,4,Low
Marine Drive Galle Face,2025-09-28,07:33,Serious Injury,Head-on Collision,Reckless Driving,3,Motorcycle; Car; Van,26-35,0,3,High
Liberty Plaza Area,2022-10-25,00:19,Minor Injury,Side-impact Collision,Driver Negligence,1,Motorcycle,26-35,0,4,Moderate
Borella Junction,2023-05-08,08:55,Minor Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Car,18-25,0,2,Moderate
Maradana Junction,2025-04-14,14:49,Minor Injury,Pedestrian Collision,Reckless Driving,1,Van,18-25,0,1,Low
Panchikawatte Junction,2024-11-29,10:40,Minor Injury,Side-impact Collision,Overspeeding,1,Motorcycle,26-35,0,2,Low
Maradana Junction,2024-07-21,00:05,Minor Injury,Rear-end Collision,Driver Fatigue,1,Car,56+,0,1,Low
Hulftsdorp Junction,2023-10-01,09:13,Minor Injury,Rear-end Collision,Distracted Driving,2,Car; Bicycle,18-25,0,2,High
T B Jayah Mawatha Maradana,2024-04-07,15:50,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,46-55,0,1,Moderate
Hospital Road Colombo 10,2023-08-07,07:57,Serious Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Three Wheeler,46-55,0,2,Moderate
Maradana Junction,2024-01-05,02:01,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bus,26-35,0,3,Low
Armour Street Junction,2025-07-16,06:34,Serious Injury,Head-on Collision,Poor Visibility,1,Motorcycle,26-35,0,5,Low
Colombo 07 Junction,2024-06-06,23:08,Serious Injury,Multi-vehicle Collision,Reckless Driving,4,Car; Bicycle; Three Wheeler; Motorcycle,26-35,0,2,High
Sea Street Kotahena,2025-11-20,08:37,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Car; Three Wheeler; Motorcycle,18-25,0,4,Low
Armour Street Pettah,2025-10-26,19:11,Minor Injury,Multi-vehicle Collision,Driver Negligence,4,Three Wheeler; Motorcycle; Bus; Lorry,56+,0,3,Low
Liberty Plaza Area,2025-07-22,18:39,Serious Injury,Rear-end Collision,Reckless Driving,1,Motorcycle,36-45,0,2,High
Wellawatte Junction,2023-01-09,19:08,Minor Injury,Pedestrian Collision,Driver Fatigue,2,Three Wheeler; Motorcycle,56+,0,2,Low
Bauddhaloka Mawatha Cinnamon Gardens,2022-12-02,09:03,Serious Injury,Side-impact Collision,Driver Negligence,2,Car; Motorcycle,26-35,0,3,High
Messenger Street Pettah,2025-04-06,07:28,Serious Injury,Single Vehicle Crash,Overspeeding,1,Three Wheeler,26-35,0,3,High
Wellawatte Junction,2023-01-02,07:01,Minor Injury,Motorcycle Collision,Overspeeding,1,Motorcycle,18-25,0,1,Low
Kochchikade Junction,2025-02-26,08:50,Serious Injury,Side-impact Collision,Failure to Yield,3,Three Wheeler; Bicycle; Motorcycle,26-35,0,3,High
Liberty Plaza Area,2022-10-20,18:15,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,56+,0,3,Low
