Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
"Junction of Galle Road and Alfred Place, Colombo 03",2025-02-22,07:04,Serious Injury,Motorcycle Collision,Failure to Yield,3,Motorcycle; Van; Bus,46-55,0,4,High,"Junction of Galle Road and Alfred Place, Colombo 03, Colombo, Sri Lanka","Junction of Galle Road and Alfred Place, Colombo 03, Colombo, Sri Lanka","Alfred Pl & Galle Rd, Colombo, Sri Lanka",6.9015317,79.852893,Clear,0.0,6.5,73.2,19.8,2025-02-22T06:25:46,2025-02-22T18:22:42,Clear,Good
Liberty Plaza Area,2023-09-23,13:12,Minor Injury,Rear-end Collision,Overspeeding,3,Car; Motorcycle; Three Wheeler,18-25,0,4,Low,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,"Rain, Partially cloudy",0.335,8.0,83.7,60.9,2023-09-23T05:59:52,2023-09-23T18:06:35,Light Rain,Good
"No. 101 R A de Mel Mawatha, Colombo 03",2022-03-19,18:26,Minor Injury,Rear-end Collision,Driver Negligence,1,Car,56+,0,2,Low,"No. 101 R A de Mel Mawatha, Colombo 03, Colombo, Sri Lanka","No. 101 R A de Mel Mawatha, Colombo 03, Colombo, Sri Lanka","101 R. A. De Mel Mawatha, Colombo, Sri Lanka",6.8947485,79.8574704,Partially cloudy,0.008,6.8,87.3,29.8,2022-03-19T06:15:27,2022-03-19T18:21:39,Partially Cloudy,Good
Wellawatte Railway Station Area,2022-08-18,12:33,Serious Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,36-45,0,3,Moderate,"Wellawatte Railway Station Area, Colombo, Sri Lanka","Wellawatte Railway Station Area, Colombo, Sri Lanka","VVF5+W22, Wellawatte Station Rd, Colombo, Sri Lanka",6.874752,79.85750639999999,"Rain, Partially cloudy",0.012,8.5,78.2,37.6,2022-08-18T06:04:40,2022-08-18T18:24:29,Light Rain,Good
Wellawatte Junction,2025-10-31,10:39,Minor Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,18-25,0,4,High,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Clear,0.004,7.3,71.8,8.0,2025-10-31T05:57:50,2025-10-31T17:50:41,Clear,Good
Havelock Road Havelock Town,2022-08-04,17:32,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Bus; Motorcycle,18-25,0,2,Low,"Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Rd, Colombo 00500, Sri Lanka",6.8903417,79.8638234,"Rain, Partially cloudy",0.674,7.6,82.7,35.3,2022-08-04T06:04:40,2022-08-04T18:28:56,Light Rain,Good
Kotahena Junction,2023-10-28,13:36,Minor Injury,Head-on Collision,Driver Negligence,1,Motorcycle,26-35,0,1,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,"Rain, Partially cloudy",0.699,8.0,85.0,61.4,2023-10-28T05:57:27,2023-10-28T17:51:27,Light Rain,Good
Mutwal Road Mutwal,2025-02-09,13:36,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,46-55,0,2,Moderate,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458,Clear,0.0,5.5,57.7,18.4,2025-02-09T06:28:44,2025-02-09T18:21:13,Clear,Moderate
Wellawatte Railway Station Area,2022-12-01,08:04,Minor Injury,Motorcycle Collision,Unsafe Lane Change,4,Motorcycle; Car; Three Wheeler; Bicycle,26-35,0,3,High,"Wellawatte Railway Station Area, Colombo, Sri Lanka","Wellawatte Railway Station Area, Colombo, Sri Lanka","VVF5+W22, Wellawatte Station Rd, Colombo, Sri Lanka",6.874752,79.85750639999999,Clear,0.004,8.6,78.7,19.7,2022-12-01T06:07:07,2022-12-01T17:52:07,Clear,Good
D R Wijewardena Mawatha Fort,2023-03-26,09:50,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,2,Moderate,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139,"Rain, Partially cloudy",0.074,8.0,80.2,49.9,2023-03-26T06:12:09,2023-03-26T18:20:56,Light Rain,Good
Ibbanwala Junction,2022-09-26,17:57,Minor Injury,Side-impact Collision,Driver Negligence,1,Bicycle,26-35,0,4,Moderate,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831,Partially cloudy,0.002,8.4,78.2,30.4,2022-09-26T05:59:20,2022-09-26T18:04:50,Partially Cloudy,Good
Mahanama College Junction,2023-10-03,12:22,Minor Injury,Pedestrian Collision,Reckless Driving,2,Car; Bus,18-25,0,1,Moderate,"Mahanama College Junction, Colombo, Sri Lanka","Mahanama College Junction, Colombo, Sri Lanka","WV43+FW2, R. A. De Mel Mawatha, Colombo, Sri Lanka",6.9061492,79.8547687,"Rain, Partially cloudy",3.603,7.4,91.6,78.6,2023-10-03T05:58:22,2023-10-03T18:01:20,Light Rain,Good
Bambalapitiya Junction,2025-03-06,18:44,Serious Injury,Rear-end Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,18-25,0,2,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Clear,0.0,6.6,72.6,15.2,2025-03-06T06:21:19,2025-03-06T18:22:40,Clear,Good
T B Jayah Mawatha Maradana,2024-02-23,22:08,Serious Injury,Rear-end Collision,Reckless Driving,3,Lorry; Three Wheeler; Van,56+,0,6,High,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082,Partially cloudy,0.0,6.4,78.4,32.2,2024-02-23T06:25:41,2024-02-23T18:22:43,Partially Cloudy,Good
"Junction of New Kelani Bridge Approach and Peliyagoda Road, Peliyagoda",2025-08-22,19:04,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Motorcycle,18-25,0,2,Moderate,"Junction of New Kelani Bridge Approach and Peliyagoda Road, Peliyagoda, Colombo, Sri Lanka","Junction of New Kelani Bridge Approach and Peliyagoda Road, Peliyagoda, Colombo, Sri Lanka","Peliyagoda Roundabout & Old Kelani Bridge, Wattala, Sri Lanka",6.9553417,79.8827203,Partially cloudy,0.0,7.2,81.2,68.2,2025-08-22T06:04:25,2025-08-22T18:22:45,Partially Cloudy,Good
Pettah Clock Tower Area,2024-06-21,11:35,Serious Injury,Rear-end Collision,Poor Visibility,3,Bus; Bicycle; Van,26-35,0,4,Moderate,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,"Rain, Partially cloudy",0.523,6.7,80.1,59.5,2024-06-21T05:56:52,2024-06-21T18:28:19,Light Rain,Good
Galle Road Dehiwela,2024-04-04,03:32,Serious Injury,Pedestrian Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,26-35,0,5,High,"Galle Road Dehiwela, Colombo, Sri Lanka","Galle Road Dehiwela, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.8880556,79.8572538,Partially cloudy,0.0,6.1,80.9,50.0,2024-04-04T06:07:24,2024-04-04T18:19:54,Partially Cloudy,Good
Sea Street Kotahena,2025-05-09,02:32,Minor Injury,Rear-end Collision,Reckless Driving,2,Van; Motorcycle,36-45,0,4,Moderate,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.015,6.9,82.0,74.2,2025-05-09T05:54:58,2025-05-09T18:19:29,Light Rain,Good
Maradana Railway Station Area,2023-05-17,12:58,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,3,High,"Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station, Jayantha Weerasekara Mawatha, Colombo 01000, Sri Lanka",6.92946,79.86511000000002,Partially cloudy,0.006,7.9,84.6,56.0,2023-05-17T05:53:51,2023-05-17T18:20:26,Partially Cloudy,Good
Darley Road Cinnamon Gardens,2024-11-07,18:46,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,56+,0,1,Moderate,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451,Partially cloudy,0.0,5.0,85.6,26.0,2024-11-07T05:59:02,2024-11-07T17:49:38,Partially Cloudy,Moderate
Wellawatte Junction,2023-03-07,19:35,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,2,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,"Rain, Partially cloudy",0.313,7.4,82.6,48.3,2023-03-07T06:21:06,2023-03-07T18:22:38,Light Rain,Good
Slave Island Junction,2023-12-12,08:54,Minor Injury,Rear-end Collision,Distracted Driving,1,Three Wheeler,36-45,0,1,Low,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,"Rain, Partially cloudy",1.131,7.8,84.0,57.2,2023-12-12T06:12:23,2023-12-12T17:56:00,Light Rain,Good
Fort Railway Station Area,2025-03-29,21:51,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,36-45,0,1,Moderate,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",0.241,6.6,73.8,22.0,2025-03-29T06:10:26,2025-03-29T18:20:34,Light Rain,Good
Union Place Borella,2025-04-13,07:17,Minor Injury,Rear-end Collision,Driver Negligence,2,Bicycle; Motorcycle,46-55,0,2,Moderate,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,"Rain, Partially cloudy",0.082,7.4,76.0,25.2,2025-04-13T06:03:24,2025-04-13T18:19:10,Light Rain,Good
Wellawatte Junction,2022-03-14,19:06,Minor Injury,Rear-end Collision,Reckless Driving,2,Lorry; Van,36-45,0,3,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934,Rain,0.706,6.6,83.7,15.5,2022-03-14T06:17:50,2022-03-14T18:22:07,Light Rain,Good
Armour Street Junction,2024-02-09,18:33,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bicycle,46-55,0,5,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,Partially cloudy,0.0,6.0,72.6,29.9,2024-02-09T06:28:49,2024-02-09T18:21:04,Partially Cloudy,Moderate
Ibbanwala Junction,2024-08-21,09:21,Serious Injury,Multi-vehicle Collision,Failure to Yield,3,Three Wheeler; Motorcycle; Lorry,18-25,0,2,High,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831,"Rain, Partially cloudy",0.028,5.3,89.1,78.1,2024-08-21T06:04:28,2024-08-21T18:23:04,Light Rain,Moderate
Rosmead Place Colombo 07,2022-12-24,20:21,Minor Injury,Side-impact Collision,Unsafe Lane Change,2,Three Wheeler; Car,18-25,0,3,Low,"Rosmead Place Colombo 07, Colombo, Sri Lanka","Rosmead Place Colombo 07, Colombo, Sri Lanka","Rosmead Pl, Colombo 00700, Sri Lanka",6.9145695,79.8701665,Partially cloudy,0.0,6.5,82.8,27.0,2022-12-24T06:18:32,2022-12-24T18:01:46,Partially Cloudy,Good
Maradana Junction,2025-07-05,18:56,Minor Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,56+,0,1,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428,Partially cloudy,0.0,7.4,73.3,26.4,2025-07-05T06:00:02,2025-07-05T18:30:40,Partially Cloudy,Good
Pettah Clock Tower Area,2025-11-03,19:26,Fatal,Single Vehicle Crash,Reckless Driving,1,Bicycle,46-55,1,1,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385,Partially cloudy,0.016,6.9,71.7,26.4,2025-11-03T05:58:15,2025-11-03T17:50:09,Partially Cloudy,Good
