Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude
Town Hall Area,2022-07-01,09:03,Minor Injury,Head-on Collision,Overspeeding,2,Car; Three Wheeler,56+,0,3,High,"Town Hall Area, Colombo, Sri Lanka","Town Hall Area, Colombo, Sri Lanka","Town Hall, Colombo 01000, Sri Lanka",6.9158502,79.8637861
Messenger Street Pettah,2025-02-14,08:31,Serious Injury,Rear-end Collision,Driver Negligence,1,Bicycle,26-35,0,2,High,"Messenger Street Pettah, Colombo, Sri Lanka","Messenger Street Pettah, Colombo, Sri Lanka","M. J. M. Lafeer Mawatha, Colombo, Sri Lanka",6.9411356,79.8629811
Fort Railway Station Area,2025-12-18,19:01,Minor Injury,Single Vehicle Crash,Overspeeding,1,Bus,26-35,0,4,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
"No. 47 Sri Sangaraja Mawatha, Colombo 10",2025-02-06,18:51,Minor Injury,Multi-vehicle Collision,Overspeeding,3,Lorry; Car; Three Wheeler,36-45,0,1,High,"No. 47 Sri Sangaraja Mawatha, Colombo 10, Colombo, Sri Lanka","No. 47 Sri Sangaraja Mawatha, Colombo 10, Colombo, Sri Lanka","47 Sri Sangaraja Mawatha, Colombo 01000, Sri Lanka",6.933855899999999,79.8647364
Wellawatte Junction,2022-01-07,13:16,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,36-45,0,1,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
"Junction of Ward Place and D S Senanayake Mawatha (Baseline Road), Colombo 08",2023-08-30,22:49,Serious Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Three Wheeler,36-45,0,3,High,"Junction of Ward Place and D S Senanayake Mawatha (Baseline Road), Colombo 08, Colombo, Sri Lanka","Junction of Ward Place and D S Senanayake Mawatha (Baseline Road), Colombo 08, Colombo, Sri Lanka","Baseline Rd & D. S. Senanayake Mawatha, Colombo 00700, Sri Lanka",6.9147089,79.87752259999999
Union Place Slave Island,2022-12-09,09:09,Serious Injury,Multi-vehicle Collision,Driver Fatigue,3,Three Wheeler; Motorcycle; Bus,18-25,0,2,High,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057
High Level Road Kirulapone,2025-01-30,12:02,Minor Injury,Motorcycle Collision,Drunk Driving,3,Motorcycle; Van; Three Wheeler,36-45,0,3,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
"Junction of Galle Road and Alfred Place, Colombo 03",2025-02-22,07:04,Serious Injury,Motorcycle Collision,Failure to Yield,3,Motorcycle; Van; Bus,46-55,0,4,High,"Junction of Galle Road and Alfred Place, Colombo 03, Colombo, Sri Lanka","Junction of Galle Road and Alfred Place, Colombo 03, Colombo, Sri Lanka","Alfred Pl & Galle Rd, Colombo, Sri Lanka",6.9015317,79.852893
Liberty Plaza Area,2023-09-23,13:12,Minor Injury,Rear-end Collision,Overspeeding,3,Car; Motorcycle; Three Wheeler,18-25,0,4,Low,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999
"No. 101 R A de Mel Mawatha, Colombo 03",2022-03-19,18:26,Minor Injury,Rear-end Collision,Driver Negligence,1,Car,56+,0,2,Low,"No. 101 R A de Mel Mawatha, Colombo 03, Colombo, Sri Lanka","No. 101 R A de Mel Mawatha, Colombo 03, Colombo, Sri Lanka","101 R. A. De Mel Mawatha, Colombo, Sri Lanka",6.8947485,79.8574704
Wellawatte Railway Station Area,2022-08-18,12:33,Serious Injury,Rear-end Collision,Driver Negligence,1,Three Wheeler,36-45,0,3,Moderate,"Wellawatte Railway Station Area, Colombo, Sri Lanka","Wellawatte Railway Station Area, Colombo, Sri Lanka","VVF5+W22, Wellawatte Station Rd, Colombo, Sri Lanka",6.874752,79.85750639999999
Wellawatte Junction,2025-10-31,10:39,Minor Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,18-25,0,4,High,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Havelock Road Havelock Town,2022-08-04,17:32,Minor Injury,Pedestrian Collision,Unsafe Lane Change,2,Bus; Motorcycle,18-25,0,2,Low,"Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Rd, Colombo 00500, Sri Lanka",6.8903417,79.8638234
Kotahena Junction,2023-10-28,13:36,Minor Injury,Head-on Collision,Driver Negligence,1,Motorcycle,26-35,0,1,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Mutwal Road Mutwal,2025-02-09,13:36,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,46-55,0,2,Moderate,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458
Wellawatte Railway Station Area,2022-12-01,08:04,Minor Injury,Motorcycle Collision,Unsafe Lane Change,4,Motorcycle; Car; Three Wheeler; Bicycle,26-35,0,3,High,"Wellawatte Railway Station Area, Colombo, Sri Lanka","Wellawatte Railway Station Area, Colombo, Sri Lanka","VVF5+W22, Wellawatte Station Rd, Colombo, Sri Lanka",6.874752,79.85750639999999
D R Wijewardena Mawatha Fort,2023-03-26,09:50,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,2,Moderate,"D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","D R Wijewardena Mawatha Fort, Colombo, Sri Lanka","McCallum Rd, Colombo, Sri Lanka",6.9324236,79.8505139
Ibbanwala Junction,2022-09-26,17:57,Minor Injury,Side-impact Collision,Driver Negligence,1,Bicycle,26-35,0,4,Moderate,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831
Mahanama College Junction,2023-10-03,12:22,Minor Injury,Pedestrian Collision,Reckless Driving,2,Car; Bus,18-25,0,1,Moderate,"Mahanama College Junction, Colombo, Sri Lanka","Mahanama College Junction, Colombo, Sri Lanka","WV43+FW2, R. A. De Mel Mawatha, Colombo, Sri Lanka",6.9061492,79.8547687
Bambalapitiya Junction,2025-03-06,18:44,Serious Injury,Rear-end Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,18-25,0,2,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
T B Jayah Mawatha Maradana,2024-02-23,22:08,Serious Injury,Rear-end Collision,Reckless Driving,3,Lorry; Three Wheeler; Van,56+,0,6,High,"T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T B Jayah Mawatha Maradana, Colombo, Sri Lanka","T. B. Jayah Mawatha, Colombo, Sri Lanka",6.9235871,79.8619082
"Junction of New Kelani Bridge Approach and Peliyagoda Road, Peliyagoda",2025-08-22,19:04,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Motorcycle,18-25,0,2,Moderate,"Junction of New Kelani Bridge Approach and Peliyagoda Road, Peliyagoda, Colombo, Sri Lanka","Junction of New Kelani Bridge Approach and Peliyagoda Road, Peliyagoda, Colombo, Sri Lanka","Peliyagoda Roundabout & Old Kelani Bridge, Wattala, Sri Lanka",6.9553417,79.8827203
Pettah Clock Tower Area,2024-06-21,11:35,Serious Injury,Rear-end Collision,Poor Visibility,3,Bus; Bicycle; Van,26-35,0,4,Moderate,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Galle Road Dehiwela,2024-04-04,03:32,Serious Injury,Pedestrian Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,26-35,0,5,High,"Galle Road Dehiwela, Colombo, Sri Lanka","Galle Road Dehiwela, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.8880556,79.8572538
Sea Street Kotahena,2025-05-09,02:32,Minor Injury,Rear-end Collision,Reckless Driving,2,Van; Motorcycle,36-45,0,4,Moderate,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Maradana Railway Station Area,2023-05-17,12:58,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,36-45,0,3,High,"Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station, Jayantha Weerasekara Mawatha, Colombo 01000, Sri Lanka",6.92946,79.86511000000002
Darley Road Cinnamon Gardens,2024-11-07,18:46,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,56+,0,1,Moderate,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
Wellawatte Junction,2023-03-07,19:35,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,0,2,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Slave Island Junction,2023-12-12,08:54,Minor Injury,Rear-end Collision,Distracted Driving,1,Three Wheeler,36-45,0,1,Low,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
Fort Railway Station Area,2025-03-29,21:51,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Motorcycle,36-45,0,1,Moderate,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Union Place Borella,2025-04-13,07:17,Minor Injury,Rear-end Collision,Driver Negligence,2,Bicycle; Motorcycle,46-55,0,2,Moderate,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951
Wellawatte Junction,2022-03-14,19:06,Minor Injury,Rear-end Collision,Reckless Driving,2,Lorry; Van,36-45,0,3,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Armour Street Junction,2024-02-09,18:33,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bicycle,46-55,0,5,Moderate,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Ibbanwala Junction,2024-08-21,09:21,Serious Injury,Multi-vehicle Collision,Failure to Yield,3,Three Wheeler; Motorcycle; Lorry,18-25,0,2,High,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831
Rosmead Place Colombo 07,2022-12-24,20:21,Minor Injury,Side-impact Collision,Unsafe Lane Change,2,Three Wheeler; Car,18-25,0,3,Low,"Rosmead Place Colombo 07, Colombo, Sri Lanka","Rosmead Place Colombo 07, Colombo, Sri Lanka","Rosmead Pl, Colombo 00700, Sri Lanka",6.9145695,79.8701665
Maradana Junction,2025-07-05,18:56,Minor Injury,Pedestrian Collision,Overspeeding,2,Motorcycle; Car,56+,0,1,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Pettah Clock Tower Area,2025-11-03,19:26,Fatal,Single Vehicle Crash,Reckless Driving,1,Bicycle,46-55,1,1,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Panchikawatte Junction,2024-12-16,14:02,Serious Injury,Rear-end Collision,Distracted Driving,3,Bicycle; Motorcycle; Three Wheeler,36-45,0,6,High,"Panchikawatte Junction, Colombo, Sri Lanka","Panchikawatte Junction, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835
Mattakkuliya Junction,2024-03-28,11:35,Minor Injury,Multi-vehicle Collision,Pedestrian Negligence,3,Bus; Car; Van,36-45,0,1,Low,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318
Sir Chittampalam A Gardiner Mawatha Fort,2023-08-04,14:15,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,18-25,0,2,Low,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
Pettah Market Area,2025-01-24,21:41,Minor Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Van,18-25,0,2,Low,"Pettah Market Area, Colombo, Sri Lanka","Pettah Market Area, Colombo, Sri Lanka","WVP3+VMM, Keyzer St, Colombo 01100, Sri Lanka",6.937201699999999,79.854187
Mutwal Road Mutwal,2022-07-08,18:49,Minor Injury,Head-on Collision,Driver Negligence,1,Bicycle,56+,0,3,Low,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458
Modara Junction,2025-09-29,14:04,Minor Injury,Rear-end Collision,Driver Negligence,2,Lorry; Bicycle,36-45,0,1,Low,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533
Grandpass Junction,2023-06-25,13:40,Minor Injury,Pedestrian Collision,Driver Negligence,1,Bicycle,56+,0,1,Moderate,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531
New Kelani Bridge Approach,2025-11-20,18:06,Serious Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Van,26-35,0,3,Moderate,"New Kelani Bridge Approach, Colombo, Sri Lanka","New Kelani Bridge Approach, Colombo, Sri Lanka","New Kelani Brg, Sri Lanka",6.9549249,79.8827484
Bambalapitiya Railway Station Area,2024-04-14,07:41,Minor Injury,Rear-end Collision,Driver Negligence,1,Motorcycle,18-25,0,4,Low,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574
Bambalapitiya Junction,2025-08-14,22:22,Minor Injury,Side-impact Collision,Failure to Yield,2,Motorcycle; Van,26-35,0,1,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Sir Chittampalam A Gardiner Mawatha Fort,2023-04-12,19:23,Minor Injury,Head-on Collision,Driver Negligence,1,Bus,26-35,0,3,High,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933
Mount Lavinia Junction,2025-09-24,15:53,Minor Injury,Side-impact Collision,Reckless Driving,1,Bicycle,46-55,0,3,Low,"Mount Lavinia Junction, Colombo, Sri Lanka","Mount Lavinia Junction, Colombo, Sri Lanka","Mount Lavinia Junction, Dehiwala-Mount Lavinia, Sri Lanka",6.8305983,79.8677664
Madampitiya Road,2022-07-03,19:51,Fatal,Head-on Collision,Driver Fatigue,3,Car; Lorry; Three Wheeler,18-25,1,4,Moderate,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976
Alfred Place Colombo 03,2025-01-17,12:53,Serious Injury,Pedestrian Collision,Reckless Driving,1,Van,46-55,0,6,High,"Alfred Place Colombo 03, Colombo, Sri Lanka","Alfred Place Colombo 03, Colombo, Sri Lanka","Alfred Pl, Colombo, Sri Lanka",6.9024159,79.8557709
Kotahena Junction,2023-11-02,13:40,Minor Injury,Side-impact Collision,Pedestrian Negligence,2,Three Wheeler; Motorcycle,36-45,0,3,High,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Bambalapitiya Railway Station Area,2024-10-03,18:55,Minor Injury,Side-impact Collision,Overspeeding,1,Three Wheeler,36-45,0,1,High,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574
Pettah Clock Tower Area,2024-08-31,02:27,Serious Injury,Motorcycle Collision,Overspeeding,3,Motorcycle; Bicycle; Three Wheeler,26-35,0,3,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
High Level Road Kirulapone,2023-06-09,16:13,Serious Injury,Rear-end Collision,Reckless Driving,2,Bicycle; Car,26-35,0,6,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Dematagoda Junction,2024-01-01,20:38,Fatal,Head-on Collision,Driver Fatigue,1,Motorcycle,36-45,2,5,High,"Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Junction, Colombo, Sri Lanka","Dematagoda Pl, Colombo, Sri Lanka",6.9293231,79.8764195
Justice Akbar Mawatha Slave Island,2025-04-24,08:37,Minor Injury,Motorcycle Collision,Pedestrian Negligence,2,Motorcycle; Car,26-35,0,3,High,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
"Junction of Reid Avenue and Independence Avenue, Colombo 07",2023-09-18,19:28,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Car,26-35,0,2,High,"Junction of Reid Avenue and Independence Avenue, Colombo 07, Colombo, Sri Lanka","Junction of Reid Avenue and Independence Avenue, Colombo 07, Colombo, Sri Lanka","Independence Ave, Colombo 00700, Sri Lanka",6.9063152,79.8660112
High Level Road Nugegoda,2023-08-20,17:07,Fatal,Rear-end Collision,Reckless Driving,2,Motorcycle; Bicycle,56+,1,4,High,"High Level Road Nugegoda, Colombo, Sri Lanka","High Level Road Nugegoda, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8780486,79.8770959
Hulftsdorp Junction,2023-10-19,11:38,Fatal,Rear-end Collision,Driver Fatigue,1,Lorry,26-35,1,5,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161
Modara Junction,2024-02-15,14:49,Serious Injury,Side-impact Collision,Driver Negligence,1,Car,56+,0,6,Moderate,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533
